,ID,Sobrevivente,Classe,Sexo,Idade,Irmãos e Esposos,Pais e Filhos,Bilhete,Tarifa,Cabine,Local de Embarque,Nome,Sobrenome
37,38,0,3,masculino,21.0,0,0,A./5. 2152,8.05,,Southampton, Ernest Charles,Cann
38,39,0,3,feminino,18.0,2,0,345764,18.0,,Southampton, Augusta Maria Vander,Planke
39,40,1,3,feminino,14.0,1,0,2651,11.2417,,Cherbourg, Jamila,Nicola-Yarred
40,41,0,3,feminino,40.0,1,0,7546,9.475,,Southampton,Johanna Persdotter,Larsson
41,42,0,2,feminino,27.0,1,0,11668,21.0,,Southampton,Dorothy Ann,Wonnacott
42,43,0,3,masculino,,0,0,349253,7.8958,,Cherbourg, Theodor,Kraeff
43,44,1,2,feminino,3.0,1,2,SC/Paris 2123,41.5792,,Cherbourg, Simonne Marie Anne Andree,Laroche
44,45,1,3,feminino,19.0,0,0,330958,7.8792,,Queenstown, Margaret Delia,Devaney
45,46,0,3,masculino,,0,0,S.C./A.4. 23567,8.05,,Southampton, William John,Rogers
46,47,0,3,masculino,,1,0,370371,15.5,,Queenstown, Denis,Lennon
47,48,1,3,feminino,,0,0,14311,7.75,,Queenstown, Bridget,O'Driscoll
48,49,0,3,masculino,,2,0,2662,21.6792,,Cherbourg, Youssef,Samaan
49,50,0,3,feminino,18.0,1,0,349237,17.8,,Southampton,Josefine,Franchi
50,51,0,3,masculino,7.0,4,1,3101295,39.6875,,Southampton, Master. Juha Niilo,Panula
51,52,0,3,masculino,21.0,0,0,A/4. 39886,7.8,,Southampton, Richard Cater,Nosworthy
52,53,1,1,feminino,49.0,1,0,PC 17572,76.7292,D33,Cherbourg,Myna,Haxtun
53,54,1,2,feminino,29.0,1,0,2926,26.0,,Southampton,Elizabeth Anne,Wilkinson
54,55,0,1,masculino,65.0,0,1,113509,61.9792,B30,Cherbourg, Engelhart Cornelius,Ostby
55,56,1,1,masculino,,0,0,19947,35.5,C52,Southampton, Hugh,Woolner
56,57,1,2,feminino,21.0,0,0,C.A. 31026,10.5,,Southampton, Emily,Rugg
57,58,0,3,masculino,28.5,0,0,2697,7.2292,,Cherbourg, Mansouer,Novel
58,59,1,2,feminino,5.0,1,2,C.A. 34651,27.75,,Southampton, Constance Mirium,West
59,60,0,3,masculino,11.0,5,2,CA 2144,46.9,,Southampton, Master. William Frederick,Goodwin
60,61,0,3,masculino,22.0,0,0,2669,7.2292,,Cherbourg, Orsen,Sirayanian
61,62,1,1,feminino,38.0,0,0,113572,80.0,B28,, Amelie,Icard
62,63,0,1,masculino,45.0,1,0,36973,83.475,C83,Southampton, Henry Birkhardt,Harris
63,64,0,3,masculino,4.0,3,2,347088,27.9,,Southampton, Master. Harald,Skoog
64,65,0,1,masculino,,0,0,PC 17605,27.7208,,Cherbourg, Albert A,Stewart
65,66,1,3,masculino,,1,1,2661,15.2458,,Cherbourg, Master. Gerios,Moubarek
66,67,1,2,feminino,29.0,0,0,C.A. 29395,10.5,F33,Southampton,Elizabeth,Ramell
67,68,0,3,masculino,19.0,0,0,S.P. 3464,8.1583,,Southampton, Ernest James,Crease
68,69,1,3,feminino,17.0,4,2,3101281,7.925,,Southampton, Erna Alexandra,Andersson
69,70,0,3,masculino,26.0,2,0,315151,8.6625,,Southampton, Vincenz,Kink
70,71,0,2,masculino,32.0,0,0,C.A. 33111,10.5,,Southampton, Stephen Curnow,Jenkin
71,72,0,3,feminino,16.0,5,2,CA 2144,46.9,,Southampton, Lillian Amy,Goodwin
72,73,0,2,masculino,21.0,0,0,S.O.C. 14879,73.5,,Southampton, Ambrose Jr,Hood
73,74,0,3,masculino,26.0,1,0,2680,14.4542,,Cherbourg, Apostolos,Chronopoulos
74,75,1,3,masculino,32.0,0,0,1601,56.4958,,Southampton, Lee,Bing
75,76,0,3,masculino,25.0,0,0,348123,7.65,F G73,Southampton, Sigurd Hansen,Moen
76,77,0,3,masculino,,0,0,349208,7.8958,,Southampton, Ivan,Staneff
77,78,0,3,masculino,,0,0,374746,8.05,,Southampton, Rahamin Haim,Moutal
78,79,1,2,masculino,0.83,0,2,248738,29.0,,Southampton, Master. Alden Gates,Caldwell
79,80,1,3,feminino,30.0,0,0,364516,12.475,,Southampton, Elizabeth,Dowdell
80,81,0,3,masculino,22.0,0,0,345767,9.0,,Southampton, Achille,Waelens
81,82,1,3,masculino,29.0,0,0,345779,9.5,,Southampton, Jan Baptist,Sheerlinck
82,83,1,3,feminino,,0,0,330932,7.7875,,Queenstown, Brigdet Delia,McDermott
83,84,0,1,masculino,28.0,0,0,113059,47.1,,Southampton, Francisco M,Carrau
84,85,1,2,feminino,17.0,0,0,SO/C 14885,10.5,,Southampton, Bertha,Ilett
85,86,1,3,feminino,33.0,3,0,3101278,15.85,,Southampton,Maria Mathilda,Gustafsson
86,87,0,3,masculino,16.0,1,3,W./C. 6608,34.375,,Southampton, William Neal,Ford
87,88,0,3,masculino,,0,0,SOTON/OQ 392086,8.05,,Southampton, Selman Francis,Slocovski
88,89,1,1,feminino,23.0,3,2,19950,263.0,C23 C25 C27,Southampton, Mabel Helen,Fortune
89,90,0,3,masculino,24.0,0,0,343275,8.05,,Southampton, Francesco,Celotti
90,91,0,3,masculino,29.0,0,0,343276,8.05,,Southampton, Emil,Christmann
91,92,0,3,masculino,20.0,0,0,347466,7.8542,,Southampton, Paul Edvin,Andreasson
92,93,0,1,masculino,46.0,1,0,W.E.P. 5734,61.175,E31,Southampton, Herbert Fuller,Chaffee
93,94,0,3,masculino,26.0,1,2,C.A. 2315,20.575,,Southampton, Bertram Frank,Dean
94,95,0,3,masculino,59.0,0,0,364500,7.25,,Southampton, Daniel,Coxon
95,96,0,3,masculino,,0,0,374910,8.05,,Southampton, Charles Joseph,Shorney
96,97,0,1,masculino,71.0,0,0,PC 17754,34.6542,A5,Cherbourg, George B,Goldschmidt
97,98,1,1,masculino,23.0,0,1,PC 17759,63.3583,D10 D12,Cherbourg, William Bertram,Greenfield
98,99,1,2,feminino,34.0,0,1,231919,23.0,,Southampton,Ada Julia,Bone
99,100,0,2,masculino,34.0,1,0,244367,26.0,,Southampton, Sinai,Kantor
100,101,0,3,feminino,28.0,0,0,349245,7.8958,,Southampton, Matilda,Petranec
101,102,0,3,masculino,,0,0,349215,7.8958,,Southampton," Pastcho (""Pentcho"")",Petroff
102,103,0,1,masculino,21.0,0,1,35281,77.2875,D26,Southampton, Richard Frasar,White
103,104,0,3,masculino,33.0,0,0,7540,8.6542,,Southampton, Gustaf Joel,Johansson
104,105,0,3,masculino,37.0,2,0,3101276,7.925,,Southampton, Anders Vilhelm,Gustafsson
105,106,0,3,masculino,28.0,0,0,349207,7.8958,,Southampton, Stoytcho,Mionoff
106,107,1,3,feminino,21.0,0,0,343120,7.65,,Southampton, Anna Kristine,Salkjelsvik
107,108,1,3,masculino,,0,0,312991,7.775,,Southampton, Albert Johan,Moss
108,109,0,3,masculino,38.0,0,0,349249,7.8958,,Southampton, Tido,Rekic
109,110,1,3,feminino,,1,0,371110,24.15,,Queenstown, Bertha,Moran
110,111,0,1,masculino,47.0,0,0,110465,52.0,C110,Southampton, Walter Chamberlain,Porter
111,112,0,3,feminino,14.5,1,0,2665,14.4542,,Cherbourg, Hileni,Zabour
112,113,0,3,masculino,22.0,0,0,324669,8.05,,Southampton, David John,Barton
113,114,0,3,feminino,20.0,1,0,4136,9.825,,Southampton, Katriina,Jussila
114,115,0,3,feminino,17.0,0,0,2627,14.4583,,Cherbourg, Malake,Attalah
115,116,0,3,masculino,21.0,0,0,STON/O 2. 3101294,7.925,,Southampton, Edvard,Pekoniemi
116,117,0,3,masculino,70.5,0,0,370369,7.75,,Queenstown, Patrick,Connors
117,118,0,2,masculino,29.0,1,0,11668,21.0,,Southampton, William John Robert,Turpin
118,119,0,1,masculino,24.0,0,1,PC 17558,247.5208,B58 B60,Cherbourg, Quigg Edmond,Baxter
119,120,0,3,feminino,2.0,4,2,347082,31.275,,Southampton, Ellis Anna Maria,Andersson
120,121,0,2,masculino,21.0,2,0,S.O.C. 14879,73.5,,Southampton, Stanley George,Hickman
121,122,0,3,masculino,,0,0,A4. 54510,8.05,,Southampton, Leonard Charles,Moore
122,123,0,2,masculino,32.5,1,0,237736,30.0708,,Cherbourg, Nicholas,Nasser
123,124,1,2,feminino,32.5,0,0,27267,13.0,E101,Southampton, Susan,Webber
124,125,0,1,masculino,54.0,0,1,35281,77.2875,D26,Southampton, Percival Wayland,White
125,126,1,3,masculino,12.0,1,0,2651,11.2417,,Cherbourg, Master. Elias,Nicola-Yarred
126,127,0,3,masculino,,0,0,370372,7.75,,Queenstown, Martin,McMahon
127,128,1,3,masculino,24.0,0,0,C 17369,7.1417,,Southampton, Fridtjof Arne,Madsen
128,129,1,3,feminino,,1,1,2668,22.3583,F E69,Cherbourg, Anna,Peter
129,130,0,3,masculino,45.0,0,0,347061,6.975,,Southampton, Johan,Ekstrom
130,131,0,3,masculino,33.0,0,0,349241,7.8958,,Cherbourg, Jozef,Drazenoic
131,132,0,3,masculino,20.0,0,0,SOTON/O.Q. 3101307,7.05,,Southampton, Domingos Fernandeo,Coelho
132,133,0,3,feminino,47.0,1,0,A/5. 3337,14.5,,Southampton,Grace Charity,Laury
133,134,1,2,feminino,29.0,1,0,228414,26.0,,Southampton,Mathilde Francoise,Pede
134,135,0,2,masculino,25.0,0,0,C.A. 29178,13.0,,Southampton, Samuel James Hayden,Sobey
135,136,0,2,masculino,23.0,0,0,SC/PARIS 2133,15.0458,,Cherbourg, Emile,Richard
136,137,1,1,feminino,19.0,0,2,11752,26.2833,D47,Southampton, Helen Monypeny,Newsom
137,138,0,1,masculino,37.0,1,0,113803,53.1,C123,Southampton, Jacques Heath,Futrelle
138,139,0,3,masculino,16.0,0,0,7534,9.2167,,Southampton, Olaf Elon,Osen
139,140,0,1,masculino,24.0,0,0,PC 17593,79.2,B86,Cherbourg, Victor,Giglio
140,141,0,3,feminino,,0,2,2678,15.2458,,Cherbourg, Joseph (Sultana),Boulos
141,142,1,3,feminino,22.0,0,0,347081,7.75,,Southampton, Anna Sofia,Nysten
142,143,1,3,feminino,24.0,1,0,STON/O2. 3101279,15.85,,Southampton,Elin Matilda,Dolck
143,144,0,3,masculino,19.0,0,0,365222,6.75,,Queenstown, Jeremiah,Burke
144,145,0,2,masculino,18.0,0,0,231945,11.5,,Southampton, Edgardo Samuel,Andrew
145,146,0,2,masculino,19.0,1,1,C.A. 33112,36.75,,Southampton, Joseph Charles,Nicholls
146,147,1,3,masculino,27.0,0,0,350043,7.7958,,Southampton," August Edvard (""Wennerstrom"")",Andersson
147,148,0,3,feminino,9.0,2,2,W./C. 6608,34.375,,Southampton," Robina Maggie ""Ruby""",Ford
148,149,0,2,masculino,36.5,0,2,230080,26.0,F2,Southampton,"""Louis","Hoffman"""
149,150,0,2,masculino,42.0,0,0,244310,13.0,,Southampton, Thomas Roussel Davids,Byles
150,151,0,2,masculino,51.0,0,0,S.O.P. 1166,12.525,,Southampton, Robert James,Bateman
151,152,1,1,feminino,22.0,1,0,113776,66.6,C2,Southampton,Edith,Wearne
152,153,0,3,masculino,55.5,0,0,A.5. 11206,8.05,,Southampton, Alfonzo,Meo
153,154,0,3,masculino,40.5,0,2,A/5. 851,14.5,,Southampton, Austin Blyler van,Billiard
154,155,0,3,masculino,,0,0,Fa 265302,7.3125,,Southampton, Ole Martin,Olsen
155,156,0,1,masculino,51.0,0,1,PC 17597,61.3792,,Cherbourg, Charles Duane,Williams
156,157,1,3,feminino,16.0,0,0,35851,7.7333,,Queenstown," Katherine ""Katie""",Gilnagh
157,158,0,3,masculino,30.0,0,0,SOTON/OQ 392090,8.05,,Southampton, Harry,Corn
158,159,0,3,masculino,,0,0,315037,8.6625,,Southampton, Mile,Smiljanic
159,160,0,3,masculino,,8,2,CA. 2343,69.55,,Southampton, Master. Thomas Henry,Sage
160,161,0,3,masculino,44.0,0,1,371362,16.1,,Southampton, John Hatfield,Cribb
161,162,1,2,feminino,40.0,0,0,C.A. 33595,15.75,,Southampton,"Elizabeth ""Bessie"" Inglis",Milne
162,163,0,3,masculino,26.0,0,0,347068,7.775,,Southampton, John Viktor,Bengtsson
163,164,0,3,masculino,17.0,0,0,315093,8.6625,,Southampton, Jovo,Calic
164,165,0,3,masculino,1.0,4,1,3101295,39.6875,,Southampton, Master. Eino Viljami,Panula
165,166,1,3,masculino,9.0,0,2,363291,20.525,,Southampton," Master. Frank John William ""Frankie""",Goldsmith
166,167,1,1,feminino,,0,1,113505,55.0,E33,Southampton,Edith Martha,Bowerman
167,168,0,3,feminino,45.0,1,4,347088,27.9,,Southampton,Anna Bernhardina,Karlsson
168,169,0,1,masculino,,0,0,PC 17318,25.925,,Southampton, John D,Baumann
169,170,0,3,masculino,28.0,0,0,1601,56.4958,,Southampton, Lee,Ling
170,171,0,1,masculino,61.0,0,0,111240,33.5,B19,Southampton, Wyckoff Van der,hoef
171,172,0,3,masculino,4.0,4,1,382652,29.125,,Queenstown, Master. Arthur,Rice
172,173,1,3,feminino,1.0,1,1,347742,11.1333,,Southampton, Eleanor Ileen,Johnson
173,174,0,3,masculino,21.0,0,0,STON/O 2. 3101280,7.925,,Southampton, Antti Wilhelm,Sivola
174,175,0,1,masculino,56.0,0,0,17764,30.6958,A7,Cherbourg, James Clinch,Smith
175,176,0,3,masculino,18.0,1,1,350404,7.8542,,Southampton, Klas Albin,Klasen
176,177,0,3,masculino,,3,1,4133,25.4667,,Southampton, Master. Henry Forbes,Lefebre
177,178,0,1,feminino,50.0,0,0,PC 17595,28.7125,C49,Cherbourg, Ann Elizabeth,Isham
178,179,0,2,masculino,30.0,0,0,250653,13.0,,Southampton, Reginald,Hale
179,180,0,3,masculino,36.0,0,0,LINE,0.0,,Southampton, Lionel,Leonard
180,181,0,3,feminino,,8,2,CA. 2343,69.55,,Southampton, Constance Gladys,Sage
181,182,0,2,masculino,,0,0,SC/PARIS 2131,15.05,,Cherbourg, Rene,Pernot
182,183,0,3,masculino,9.0,4,2,347077,31.3875,,Southampton, Master. Clarence Gustaf Hugo,Asplund
183,184,1,2,masculino,1.0,2,1,230136,39.0,F4,Southampton, Master. Richard F,Becker
184,185,1,3,feminino,4.0,0,2,315153,22.025,,Southampton, Luise Gretchen,Kink-Heilmann
185,186,0,1,masculino,,0,0,113767,50.0,A32,Southampton, Hugh Roscoe,Rood
186,187,1,3,feminino,,1,0,370365,15.5,,Queenstown,"Johanna ""Hannah""",Godfrey
187,188,1,1,masculino,45.0,0,0,111428,26.55,,Southampton,"""C","Rolmane"""
188,189,0,3,masculino,40.0,1,1,364849,15.5,,Queenstown, John,Bourke
189,190,0,3,masculino,36.0,0,0,349247,7.8958,,Southampton, Stjepan,Turcin
190,191,1,2,feminino,32.0,0,0,234604,13.0,,Southampton, (Rosa),Pinsky
191,192,0,2,masculino,19.0,0,0,28424,13.0,,Southampton, William,Carbines
192,193,1,3,feminino,19.0,1,0,350046,7.8542,,Southampton, Carla Christine Nielsine,Andersen-Jensen
193,194,1,2,masculino,3.0,1,1,230080,26.0,F2,Southampton, Master. Michel M,Navratil
194,195,1,1,feminino,44.0,0,0,PC 17610,27.7208,B4,Cherbourg,Margaret,Tobin
195,196,1,1,feminino,58.0,0,0,PC 17569,146.5208,B80,Cherbourg, Elise,Lurette
196,197,0,3,masculino,,0,0,368703,7.75,,Queenstown, Robert,Mernagh
197,198,0,3,masculino,42.0,0,1,4579,8.4042,,Southampton, Karl Siegwart Andreas,Olsen
198,199,1,3,feminino,,0,0,370370,7.75,,Queenstown," Margaret ""Maggie""",Madigan
199,200,0,2,feminino,24.0,0,0,248747,13.0,,Southampton," Henriette (""Harbeck"")",Yrois
200,201,0,3,masculino,28.0,0,0,345770,9.5,,Southampton, Nestor Cyriel Vande,Walle
201,202,0,3,masculino,,8,2,CA. 2343,69.55,,Southampton, Frederick,Sage
202,203,0,3,masculino,34.0,0,0,3101264,6.4958,,Southampton, Jakob Alfred,Johanson
203,204,0,3,masculino,45.5,0,0,2628,7.225,,Cherbourg, Gerious,Youseff
204,205,1,3,masculino,18.0,0,0,A/5 3540,8.05,,Southampton," Gurshon ""Gus""",Cohen
205,206,0,3,feminino,2.0,0,1,347054,10.4625,G6,Southampton, Telma Matilda,Strom
206,207,0,3,masculino,32.0,1,0,3101278,15.85,,Southampton, Karl Alfred,Backstrom
207,208,1,3,masculino,26.0,0,0,2699,18.7875,,Cherbourg, Nassef Cassem,Albimona
208,209,1,3,feminino,16.0,0,0,367231,7.75,,Queenstown," Helen ""Ellen""",Carr
209,210,1,1,masculino,40.0,0,0,112277,31.0,A31,Cherbourg, Henry,Blank
210,211,0,3,masculino,24.0,0,0,SOTON/O.Q. 3101311,7.05,,Southampton, Ahmed,Ali
211,212,1,2,feminino,35.0,0,0,F.C.C. 13528,21.0,,Southampton, Clear Annie,Cameron
212,213,0,3,masculino,22.0,0,0,A/5 21174,7.25,,Southampton, John Henry,Perkin
213,214,0,2,masculino,30.0,0,0,250646,13.0,,Southampton, Hans Kristensen,Givard
214,215,0,3,masculino,,1,0,367229,7.75,,Queenstown, Philip,Kiernan
215,216,1,1,feminino,31.0,1,0,35273,113.275,D36,Cherbourg, Madeleine,Newell
216,217,1,3,feminino,27.0,0,0,STON/O2. 3101283,7.925,,Southampton, Eliina,Honkanen
217,218,0,2,masculino,42.0,1,0,243847,27.0,,Southampton, Sidney Samuel,Jacobsohn
218,219,1,1,feminino,32.0,0,0,11813,76.2917,D15,Cherbourg, Albina,Bazzani
219,220,0,2,masculino,30.0,0,0,W/C 14208,10.5,,Southampton, Walter,Harris
220,221,1,3,masculino,16.0,0,0,SOTON/OQ 392089,8.05,,Southampton, Victor Francis,Sunderland
221,222,0,2,masculino,27.0,0,0,220367,13.0,,Southampton, James H,Bracken
222,223,0,3,masculino,51.0,0,0,21440,8.05,,Southampton, George Henry,Green
223,224,0,3,masculino,,0,0,349234,7.8958,,Southampton, Christo,Nenkoff
224,225,1,1,masculino,38.0,1,0,19943,90.0,C93,Southampton, Frederick Maxfield,Hoyt
225,226,0,3,masculino,22.0,0,0,PP 4348,9.35,,Southampton, Karl Ivar Sven,Berglund
226,227,1,2,masculino,19.0,0,0,SW/PP 751,10.5,,Southampton, William John,Mellors
227,228,0,3,masculino,20.5,0,0,A/5 21173,7.25,,Southampton," John Hall (""Henry"")",Lovell
228,229,0,2,masculino,18.0,0,0,236171,13.0,,Southampton, Arne Jonas,Fahlstrom
229,230,0,3,feminino,,3,1,4133,25.4667,,Southampton, Mathilde,Lefebre
230,231,1,1,feminino,35.0,1,0,36973,83.475,C83,Southampton,Irene,Wallach
231,232,0,3,masculino,29.0,0,0,347067,7.775,,Southampton, Bengt Edvin,Larsson
232,233,0,2,masculino,59.0,0,0,237442,13.5,,Southampton, Ernst Adolf,Sjostedt
233,234,1,3,feminino,5.0,4,2,347077,31.3875,,Southampton, Lillian Gertrud,Asplund
234,235,0,2,masculino,24.0,0,0,C.A. 29566,10.5,,Southampton, Robert William Norman,Leyson
235,236,0,3,feminino,,0,0,W./C. 6609,7.55,,Southampton, Alice Phoebe,Harknett
236,237,0,2,masculino,44.0,1,0,26707,26.0,,Southampton, Stephen,Hold
237,238,1,2,feminino,8.0,0,2,C.A. 31921,26.25,,Southampton," Marjorie ""Lottie""",Collyer
238,239,0,2,masculino,19.0,0,0,28665,10.5,,Southampton, Frederick William,Pengelly
239,240,0,2,masculino,33.0,0,0,SCO/W 1585,12.275,,Southampton, George Henry,Hunt
240,241,0,3,feminino,,1,0,2665,14.4542,,Cherbourg, Thamine,Zabour
241,242,1,3,feminino,,1,0,367230,15.5,,Queenstown," Katherine ""Kate""",Murphy
242,243,0,2,masculino,29.0,0,0,W./C. 14263,10.5,,Southampton, Reginald Charles,Coleridge
243,244,0,3,masculino,22.0,0,0,STON/O 2. 3101275,7.125,,Southampton, Matti Alexanteri,Maenpaa
244,245,0,3,masculino,30.0,0,0,2694,7.225,,Cherbourg, Sleiman,Attalah
245,246,0,1,masculino,44.0,2,0,19928,90.0,C78,Queenstown, Dr. William Edward,Minahan
246,247,0,3,feminino,25.0,0,0,347071,7.775,,Southampton, Agda Thorilda Viktoria,Lindahl
247,248,1,2,feminino,24.0,0,2,250649,14.5,,Southampton, William (Anna),Hamalainen
248,249,1,1,masculino,37.0,1,1,11751,52.5542,D35,Southampton, Richard Leonard,Beckwith
249,250,0,2,masculino,54.0,1,0,244252,26.0,,Southampton, Ernest Courtenay,Carter
250,251,0,3,masculino,,0,0,362316,7.25,,Southampton, James George,Reed
251,252,0,3,feminino,29.0,1,1,347054,10.4625,G6,Southampton,Elna Matilda,Persson
252,253,0,1,masculino,62.0,0,0,113514,26.55,C87,Southampton, William Thomas,Stead
253,254,0,3,masculino,30.0,1,0,A/5. 3336,16.1,,Southampton, William Arthur,Lobb
254,255,0,3,feminino,41.0,0,2,370129,20.2125,,Southampton,Helena,Wilhelmina
255,256,1,3,feminino,29.0,0,2,2650,15.2458,,Cherbourg,Hanne Youssef,Razi
256,257,1,1,feminino,,0,0,PC 17585,79.2,,Cherbourg, Gertrude Maybelle,Thorne
257,258,1,1,feminino,30.0,0,0,110152,86.5,B77,Southampton, Gladys,Cherry
258,259,1,1,feminino,35.0,0,0,PC 17755,512.3292,,Cherbourg, Anna,Ward
259,260,1,2,feminino,50.0,0,1,230433,26.0,,Southampton,Lutie,Davis
260,261,0,3,masculino,,0,0,384461,7.75,,Queenstown, Thomas,Smith
261,262,1,3,masculino,3.0,4,2,347077,31.3875,,Southampton, Master. Edvin Rojj Felix,Asplund
262,263,0,1,masculino,52.0,1,1,110413,79.65,E67,Southampton, Emil,Taussig
263,264,0,1,masculino,40.0,0,0,112059,0.0,B94,Southampton, William,Harrison
264,265,0,3,feminino,,0,0,382649,7.75,,Queenstown, Delia,Henry
265,266,0,2,masculino,36.0,0,0,C.A. 17248,10.5,,Southampton, David,Reeves
266,267,0,3,masculino,16.0,4,1,3101295,39.6875,,Southampton, Ernesti Arvid,Panula
267,268,1,3,masculino,25.0,1,0,347083,7.775,,Southampton, Ernst Ulrik,Persson
268,269,1,1,feminino,58.0,0,1,PC 17582,153.4625,C125,Southampton,Edith,Junkins
269,270,1,1,feminino,35.0,0,0,PC 17760,135.6333,C99,Southampton, Amelia,Bissette
270,271,0,1,masculino,,0,0,113798,31.0,,Southampton, Alexander,Cairns
271,272,1,3,masculino,25.0,0,0,LINE,0.0,,Southampton, William Henry,Tornquist
272,273,1,2,feminino,41.0,0,1,250644,19.5,,Southampton,Elizabeth Anne,Maidment
273,274,0,1,masculino,37.0,0,1,PC 17596,29.7,C118,Cherbourg, Charles H,Natsch
274,275,1,3,feminino,,0,0,370375,7.75,,Queenstown," Hanora ""Nora""",Healy
275,276,1,1,feminino,63.0,1,0,13502,77.9583,D7,Southampton, Kornelia Theodosia,Andrews
276,277,0,3,feminino,45.0,0,0,347073,7.75,,Southampton, Augusta Charlotta,Lindblom
277,278,0,2,masculino,,0,0,239853,0.0,,Southampton," Francis ""Frank""",Parkes
278,279,0,3,masculino,7.0,4,1,382652,29.125,,Queenstown, Master. Eric,Rice
279,280,1,3,feminino,35.0,1,1,C.A. 2673,20.25,,Southampton,Rosa,Hunt
280,281,0,3,masculino,65.0,0,0,336439,7.75,,Queenstown, Frank,Duane
281,282,0,3,masculino,28.0,0,0,347464,7.8542,,Southampton, Nils Johan Goransson,Olsson
282,283,0,3,masculino,16.0,0,0,345778,9.5,,Southampton, Alfons de,Pelsmaeker
283,284,1,3,masculino,19.0,0,0,A/5. 10482,8.05,,Southampton, Edward Arthur,Dorking
284,285,0,1,masculino,,0,0,113056,26.0,A19,Southampton, Richard William,Smith
285,286,0,3,masculino,33.0,0,0,349239,8.6625,,Cherbourg, Ivan,Stankovic
286,287,1,3,masculino,30.0,0,0,345774,9.5,,Southampton, Theodore de,Mulder
287,288,0,3,masculino,22.0,0,0,349206,7.8958,,Southampton, Penko,Naidenoff
288,289,1,2,masculino,42.0,0,0,237798,13.0,,Southampton, Masabumi,Hosono
289,290,1,3,feminino,22.0,0,0,370373,7.75,,Queenstown, Kate,Connolly
